,epoch,minibatch,trainstep,task,multiclass AUROC
0,0,55,0,tox,"tensor(0.4933, device='cuda:0')"
1,1,55,1,tox,"tensor(0.5013, device='cuda:0')"
2,2,55,2,tox,"tensor(0.4987, device='cuda:0')"
3,3,55,3,tox,"tensor(0.5009, device='cuda:0')"
4,4,55,4,tox,"tensor(0.5093, device='cuda:0')"
5,5,55,5,tox,"tensor(0.5155, device='cuda:0')"
6,6,55,6,tox,"tensor(0.5217, device='cuda:0')"
7,7,55,7,tox,"tensor(0.5267, device='cuda:0')"
8,8,55,8,tox,"tensor(0.5334, device='cuda:0')"
9,9,55,9,tox,"tensor(0.5397, device='cuda:0')"
10,10,55,10,tox,"tensor(0.5465, device='cuda:0')"
11,11,55,11,tox,"tensor(0.5529, device='cuda:0')"
12,12,55,12,tox,"tensor(0.5586, device='cuda:0')"
13,13,55,13,tox,"tensor(0.5632, device='cuda:0')"
14,14,55,14,tox,"tensor(0.5660, device='cuda:0')"
15,15,55,15,tox,"tensor(0.5691, device='cuda:0')"
16,16,55,16,tox,"tensor(0.5721, device='cuda:0')"
17,17,55,17,tox,"tensor(0.5753, device='cuda:0')"
18,18,55,18,tox,"tensor(0.5778, device='cuda:0')"
19,19,55,19,tox,"tensor(0.5804, device='cuda:0')"
20,20,55,20,tox,"tensor(0.5824, device='cuda:0')"
21,21,55,21,tox,"tensor(0.5848, device='cuda:0')"
22,22,55,22,tox,"tensor(0.5864, device='cuda:0')"
23,23,55,23,tox,"tensor(0.5887, device='cuda:0')"
24,24,55,24,tox,"tensor(0.5906, device='cuda:0')"
25,25,55,25,tox,"tensor(0.5919, device='cuda:0')"
26,26,55,26,tox,"tensor(0.5933, device='cuda:0')"
27,27,55,27,tox,"tensor(0.5948, device='cuda:0')"
28,28,55,28,tox,"tensor(0.5961, device='cuda:0')"
29,29,55,29,tox,"tensor(0.5978, device='cuda:0')"
30,30,55,30,tox,"tensor(0.5995, device='cuda:0')"
31,31,55,31,tox,"tensor(0.6007, device='cuda:0')"
32,32,55,32,tox,"tensor(0.6018, device='cuda:0')"
33,33,55,33,tox,"tensor(0.6030, device='cuda:0')"
34,34,55,34,tox,"tensor(0.6039, device='cuda:0')"
35,35,55,35,tox,"tensor(0.6057, device='cuda:0')"
36,36,55,36,tox,"tensor(0.6071, device='cuda:0')"
37,37,55,37,tox,"tensor(0.6080, device='cuda:0')"
38,38,55,38,tox,"tensor(0.6094, device='cuda:0')"
39,39,55,39,tox,"tensor(0.6101, device='cuda:0')"
40,40,55,40,tox,"tensor(0.6116, device='cuda:0')"
41,41,55,41,tox,"tensor(0.6129, device='cuda:0')"
42,42,55,42,tox,"tensor(0.6142, device='cuda:0')"
43,43,55,43,tox,"tensor(0.6157, device='cuda:0')"
44,44,55,44,tox,"tensor(0.6168, device='cuda:0')"
45,45,55,45,tox,"tensor(0.6179, device='cuda:0')"
46,46,55,46,tox,"tensor(0.6189, device='cuda:0')"
47,47,55,47,tox,"tensor(0.6199, device='cuda:0')"
48,48,55,48,tox,"tensor(0.6207, device='cuda:0')"
49,49,55,49,tox,"tensor(0.6215, device='cuda:0')"
